direction,target_price,calc_target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,price_error_pct,range_error,duration_error,start_time,start_price
Up,4435.888860626221,4436.746598358154,2026-01-08 12:02:56.241703033,7.626598358154297,14.937361717224121,4433.43,2026-01-08 11:56:00,Up,4.3100000000004,8.0,2.458860626220485,0.0554618123263587,3.3165983581538967,6.937361717224121,2026-01-08 11:48:00,4429.12
Down,4427.07656463325,4426.414794139862,2026-01-08 12:11:34.453697204,7.0152058601379395,15.574228286743164,4423.08,2026-01-08 12:20:00,Down,10.350000000000364,24.0,3.996564633250273,0.0903570505903188,3.3347941398624243,8.425771713256836,2026-01-08 11:56:00,4433.43
Up,4431.352901201248,4431.858594970703,2026-01-08 12:35:57.255477905,8.778594970703125,15.95425796508789,4434.76,2026-01-08 12:42:00,Up,11.680000000000291,22.0,3.407098798752486,0.07682712928664653,2.901405029297166,6.045742034912109,2026-01-08 12:20:00,4423.08
Down,4424.711143493652,4424.880986938477,2026-01-08 13:00:11.478195190,9.879013061523438,18.191303253173828,4429.99,2026-01-08 12:56:00,Down,4.770000000000437,14.0,5.278856506347438,0.1191618154069747,5.109013061523001,4.191303253173828,2026-01-08 12:42:00,4434.76
Up,4435.588345278501,4438.008032073974,2026-01-08 13:12:02.435646057,8.01803207397461,16.04059410095215,4433.91,2026-01-08 12:59:00,Up,3.9200000000000728,3.0,1.6783452785011832,0.03785248862744583,4.098032073974537,13.040594100952148,2026-01-08 12:56:00,4429.99
Down,4427.211782074571,4426.4835907554625,2026-01-08 13:20:20.077857971,7.4264092445373535,21.334630966186523,4424.8,2026-01-08 13:25:00,Down,9.109999999999673,26.0,2.4117820745705103,0.054506013256429904,1.683590755462319,4.665369033813477,2026-01-08 12:59:00,4433.91
Up,4435.099521064759,4432.273785400391,2026-01-08 13:42:11.995239257,7.473785400390625,17.199920654296875,4428.1,2026-01-08 13:40:00,Up,3.300000000000182,15.0,6.999521064758483,0.15807052832498097,4.173785400390443,2.199920654296875,2026-01-08 13:25:00,4424.8
Down,4417.611210083962,4417.94858417511,2026-01-08 13:56:28.424491882,10.151415824890137,16.47374153137207,4407.76,2026-01-08 14:16:00,Down,20.340000000000146,36.0,9.851210083961632,0.22349697088683668,10.188584175110009,19.52625846862793,2026-01-08 13:40:00,4428.1
Up,4416.345261182785,4417.762228736878,2026-01-08 14:31:25.060157775,10.002228736877441,15.417669296264648,4431.4,2026-01-08 14:44:00,Up,23.639999999999418,28.0,15.054738817214457,0.33972872720166214,13.637771263121977,12.582330703735352,2026-01-08 14:16:00,4407.76
Down,4417.389909243583,4419.409351730346,2026-01-08 15:00:28.486404418,11.99064826965332,16.474773406982422,4417.4,2026-01-08 15:10:00,Down,14.0,26.0,0.0100907564165027,0.0002284320282632929,2.0093517303466797,9.525226593017578,2026-01-08 14:44:00,4431.4
Up,4429.7986819982525,4429.6093276977535,2026-01-08 15:25:11.251373291,12.209327697753906,15.187522888183594,4436.63,2026-01-08 15:25:00,Up,19.230000000000473,15.0,6.831318001747604,0.15397538225517127,7.020672302246567,0.18752288818359375,2026-01-08 15:10:00,4417.4
Down,4427.113462583423,4424.684369926453,2026-01-08 15:40:48.742618560,11.945630073547363,15.812376976013184,4425.86,2026-01-08 15:33:00,Down,10.770000000000437,8.0,1.253462583423243,0.028321333784241776,1.1756300735469267,7.812376976013184,2026-01-08 15:25:00,4436.63
Up,4441.886487751007,4440.181517944336,2026-01-08 15:46:01.742706298,14.321517944335938,13.029045104980469,4435.55,2026-01-08 15:44:00,Up,9.69000000000051,11.0,6.3364877510066435,0.14285686670213713,4.631517944335428,2.0290451049804688,2026-01-08 15:33:00,4425.86
Down,4424.274219352007,4423.993283081055,2026-01-08 15:59:19.755134582,11.556716918945312,15.329252243041992,4419.23,2026-01-08 16:08:00,Down,16.32000000000062,24.0,5.044219352007531,0.11414249432610503,4.763283081055306,8.670747756958008,2026-01-08 15:44:00,4435.55
Up,4431.96623758316,4433.027214508056,2026-01-08 16:23:44.981002807,13.79721450805664,15.749683380126953,4439.32,2026-01-08 16:50:00,Up,20.090000000000146,42.0,7.353762416839345,0.16565064957784853,6.292785491943505,26.250316619873047,2026-01-08 16:08:00,4419.23
Down,4428.057656047344,4427.457647628784,2026-01-08 17:05:58.368129730,11.86235237121582,15.97280216217041,4427.78,2026-01-08 17:01:00,Down,11.539999999999964,11.0,0.2776560473439531,0.006270773329839177,0.3223523712158567,4.97280216217041,2026-01-08 16:50:00,4439.32
Up,4439.174848184585,4440.675621299743,2026-01-08 17:17:32.383804321,12.895621299743652,16.539730072021484,4453.98,2026-01-08 17:17:00,Up,26.199999999999818,16.0,14.80515181541432,0.33240274575580314,13.304378700256166,0.5397300720214844,2026-01-08 17:01:00,4427.78
Down,4440.272579809427,4437.451187591552,2026-01-08 17:32:29.693355560,16.528812408447266,15.494889259338379,4443.45,2026-01-08 17:26:00,Down,10.529999999999745,9.0,3.177420190572775,0.07150795419263804,5.99881240844752,6.494889259338379,2026-01-08 17:17:00,4453.98
Up,4458.698488801718,4455.4078170776365,2026-01-08 17:43:28.671340942,11.957817077636719,17.477855682373047,4456.42,2026-01-08 17:50:00,Up,12.970000000000255,24.0,2.2784888017176854,0.051128233014789574,1.012182922363536,6.522144317626953,2026-01-08 17:26:00,4443.45
Down,4442.695242483616,4440.406671447754,2026-01-08 18:08:08.906021118,16.013328552246094,18.148433685302734,4447.76,2026-01-08 17:55:00,Down,8.659999999999854,5.0,5.0647575163839065,0.1138720955353685,7.353328552246239,13.148433685302734,2026-01-08 17:50:00,4456.42
Up,4458.0838028240205,4458.905387649536,2026-01-08 18:11:30.580215454,11.145387649536133,16.50967025756836,4458.0,2026-01-08 18:02:00,Up,10.239999999999782,7.0,0.08380282402049488,0.0018798300587818504,0.9053876495363511,9.50967025756836,2026-01-08 17:55:00,4447.76
Down,4445.653701782227,4443.8053855896,2026-01-08 18:17:39.588546752,14.19461441040039,15.659809112548828,4447.0,2026-01-08 18:15:00,Down,11.0,13.0,1.3462982177734375,0.03027430217615106,3.1946144104003906,2.659809112548828,2026-01-08 18:02:00,4458.0
Up,4459.727210044861,4459.457624435425,2026-01-08 18:32:52.243537902,12.457624435424805,17.870725631713867,4464.61,2026-01-08 18:42:00,Up,17.609999999999673,27.0,4.882789955138833,0.10936655060887364,5.152375564574868,9.129274368286133,2026-01-08 18:15:00,4447.0
Down,4451.500283403397,4450.546533927917,2026-01-08 18:58:31.531219482,14.06346607208252,16.52552032470703,4457.87,2026-01-08 18:48:00,Down,6.739999999999782,6.0,6.369716596603212,0.14288699752579623,7.323466072082738,10.525520324707031,2026-01-08 18:42:00,4464.61
